id,name,company,type,address,city,postal,state,lat,lon,profile_url
12048,Form8tion LaGrange,Form8tion Data Centers,Colocation,411 Pegasus Parkway,LaGrange,30240,Georgia,32.984972,-85.055494,https://www.datacentermap.com/usa/georgia/columbus-ga/form8tion-lagrange/
11656,T5 Data Centers - T5@Augusta,T5 Data Centers,Colocation,2865 Gordon Hwy,Augusta,30909,Georgia,33.4387626,-82.15793719999999,https://www.datacentermap.com/usa/georgia/augusta/t5augusta/
14450,CleanSpark Sandersville,CleanSpark,Enterprise,2015 George J Lyons Pkwy,Sandersville,31082,Georgia,33.00214998108429,-82.83388958437858,https://www.datacentermap.com/usa/georgia/sandersville/cleanspark-sandersville/
8158,Ubiquity Edge Data Center,Ubiquity,Colocation,695 Brannen St,Statesboro,30461,Georgia,32.4325928,-81.7604578,https://www.datacentermap.com/usa/georgia/statesboro/edge-statesboro/
14453,CleanSpark Vidalia,CleanSpark,Enterprise,430 Davis Rd,Vidalia,30474,Georgia,32.23465538118385,-82.36405059765595,https://www.datacentermap.com/usa/georgia/vidalia/cleanspark-vidalia/
12500,Data Center West - Eugene,"Data Center West, Inc",Colocation,800 Willamette St,Eugene,97401,Oregon,44.0507104,-123.0931163,https://www.datacentermap.com/usa/oregon/eugene/data-center-west-eugene/
9494,Lumen Eugene 2,Lumen,Colocation,90470 Prairie Rd,Eugene,97402,Oregon,44.1183149,-123.1679134,https://www.datacentermap.com/usa/oregon/eugene/lumen-eugene/
5328,Lumen Eugene 1,Lumen,Colocation,1745 W. 5th Avenue,Eugene,97402,Oregon,44.0549859,-123.1197252,https://www.datacentermap.com/usa/oregon/eugene/level3-eugene1/
4052,3825 NW Aloclek Street (PDX10),Digital Realty,Colocation,3825 NW Aloclek Street,Hillsboro,97124,Oregon,45.547609,-122.892017,https://www.datacentermap.com/usa/oregon/portland/telx-prt1/
8265,Flexential Portland - Hillsboro 3 Data Center,Flexential,Colocation,5419 NE Starr Blvd,Hillsboro,97124,Oregon,45.5604163,-122.9376545,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro3/
5908,Flexential Portland - Hillsboro 2 Data Center,Flexential,Colocation,5737 NE Huffman St.,Hillsboro,97124,Oregon,45.5570103,-122.9211116,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro2/
